MESSAGE_ID,NETWORK_TIMESTAMP,SENDING_TIMESTAMP,EVENT_TIMESTAMP
1,1572434452524500992,1572434452400777859,1572434452400715066
2,1572434452524500992,1572434452400777859,1572434452400715066
3,1572434452524500992,1572434452400777859,1572434452400715066
4,1572434452524500992,1572434452400777859,1572434452400715066
5,1572434452524500992,1572434452400777859,1572434452400718883
6,1572434452524500992,1572434452400777859,1572434452400718883
7,1572434452524500992,1572434452400777859,1572434452400718883
8,1572434452524500992,1572434452400777859,1572434452400721901
9,1572434452524500992,1572434452400777859,1572434452400721901
10,1572434452524500992,1572434452400777859,1572434452400721901
11,1572434452524500992,1572434452400777859,1572434452400724213
12,1572434452524500992,1572434452400777859,1572434452400724213
13,1572434452524500992,1572434452400777859,1572434452400724213
14,1572434452524500992,1572434452400777859,1572434452400728055
15,1572434452524500992,1572434452400777859,1572434452400728055
16,1572434452524500992,1572434452400777859,1572434452400728055
17,1572434452524500992,1572434452400777859,1572434452400731030
18,1572434452524500992,1572434452400777859,1572434452400731030
19,1572434452524500992,1572434452400777859,1572434452400731030
20,1572434452524500992,1572434452400777859,1572434452400735983
21,1572434452524500992,1572434452400777859,1572434452400735983
22,1572434452524500992,1572434452400777859,1572434452400735983
23,1572434452524500992,1572434452400777859,1572434452400736940
24,1572434452524500992,1572434452400777859,1572434452400736940
25,1572434452524500992,1572434452400777859,1572434452400736940
26,1572434452524500992,1572434452400777859,1572434452400739849
27,1572434452524500992,1572434452400777859,1572434452400739849
28,1572434452524500992,1572434452400777859,1572434452400739849
29,1572434452524500992,1572434452400777859,1572434452400742823
30,1572434452524500992,1572434452400777859,1572434452400742823
31,1572434452524500992,1572434452400777859,1572434452400742823
32,1572434452524500992,1572434452400777859,1572434452400746061
33,1572434452524500992,1572434452400777859,1572434452400746061
34,1572434452524500992,1572434452400777859,1572434452400746061
35,1572434452524500992,1572434452400777859,1572434452400748684
36,1572434452524500992,1572434452400777859,1572434452400748684
37,1572434452524500992,1572434452400777859,1572434452400748684
38,1572434452524500992,1572434452400777859,1572434452400751371
39,1572434452524500992,1572434452400777859,1572434452400751371
40,1572434452524500992,1572434452400777859,1572434452400751371
41,1572434452524500992,1572434452400777859,1572434452400754303
42,1572434452524500992,1572434452400777859,1572434452400754303
43,1572434452524500992,1572434452400777859,1572434452400754303
44,1572434452524500992,1572434452400777859,1572434452400757285
45,1572434452524500992,1572434452400777859,1572434452400757285
46,1572434452524500992,1572434452400777859,1572434452400757285
47,1572434452524500992,1572434452400777859,1572434452400760191
48,1572434452524500992,1572434452400777859,1572434452400760191
49,1572434452524500992,1572434452400777859,1572434452400760191
50,1572434452524500992,1572434452400777859,1572434452400764303
51,1572434452524500992,1572434452400777859,1572434452400764303
52,1572434452524500992,1572434452400777859,1572434452400764303
53,1572434452524500992,1572434452400777859,1572434452400766312
54,1572434452524500992,1572434452400777859,1572434452400766312
55,1572434452524500992,1572434452400777859,1572434452400766312
56,1572434452524500992,1572434452400777859,1572434452400771355
57,1572434452524500992,1572434452400777859,1572434452400771355
58,1572434452524500992,1572434452400777859,1572434452400771355
59,1572434452524500992,1572434452400777859,1572434452400772704
60,1572434452524500992,1572434452400777859,1572434452400772704
61,1572434452524500992,1572434452400777859,1572434452400772704
62,1572434452524500992,1572434452400777859,1572434452400774272
63,1572434452524500992,1572434452400777859,1572434452400774272
64,1572434452524500992,1572434452400777859,1572434452400774272
65,1572434452524500992,1572434452400777859,1572434452400777859
66,1572434452524500992,1572434452400777859,1572434452400777859
67,1572434452530838016,1572434452400873127,1572434452400777859
68,1572434452530838016,1572434452400873127,1572434452400781989
69,1572434452530838016,1572434452400873127,1572434452400781989
70,1572434452530838016,1572434452400873127,1572434452400781989
71,1572434452530838016,1572434452400873127,1572434452400783666
72,1572434452530838016,1572434452400873127,1572434452400783666
73,1572434452530838016,1572434452400873127,1572434452400783666
74,1572434452530838016,1572434452400873127,1572434452400788003
